code_new,metrics,definitions
qbi65,Fire inspection fines revenue,Total revenue generated from fines due to failed fire inspections in the fiscal year.
qbi66,Special fire permits revenue,"Total revenue generated in the fiscal year from special fire permits (fuel storage, explosives, pyrotechnics, etc.)."
qbi66_01,Total fire revenue,[Fire inspection revenue] + [Fire re-inspection revenue] + [Fire inspection fines revenue] + [Special fire permits revenue].
qbi66_02,Fire revenue as a percentage of total revenue,[Total fire revenue] divided by [Total revenue] and multiplied by 100.
qbi66_03,Total revenue,[Residential plan review revenue] + [Residential permit revenue] + [Residential inspection revenue] + [Residential re-inspection revenue] + [Commercial plan review revenue] + [Commercial permit revenue] + [Commercial inspection revenue] + [Commercial re-inspection revenue] + [Manufactured homes permit revenue] + [Manufactured homes inspections revenue] + [Manufactured Homes re-inspection revenue] + [Fire inspection revenue] + [Fire re-inspection revenue] + [Fire inspection fines revenue] + [Special fire permits revenue].
qbi66_04,Total revenue as a percentage of total expenses,[Total revenue] divided by [Total expenses for building inspections department] and multiplied by 100.
qbi67,Approved inspector FTEs,"Total number of full-time-equivalent (FTE) inspector positions, filled or unfilled, approved for the fiscal year. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi68,Approved administration FTEs,"Total number of full-time-equivalent (FTE) administration positions including CBO and support staff, filled or unfilled, approved for the fiscal year. This number includes all approved, regularly scheduled full-time positions and regular part-time positions that are eligible for full benefits. It does not include seasonal or part-time positions that are not eligible for full benefits."
qbi68_01,Ratio of administrator to inspector FTEs,[Approved administration FTEs] divided by [Approved inspector FTEs].
qbi69,Approved temporary administration staff FTEs,Total number of full-time-equivalent (FTE) part-time and temporary administration staff not eligible for full benefits for the fiscal year.
qbi69_01,Ratio of temporary staff to inspector FTEs,[Approved temporary administration staff FTEs] divided by [Approved inspector FTEs].
qbi69_02,Total building inspections department FTEs,[Approved Inspector FTEs] + [Approved Admin FTEs] + [Approved admin temp-staff FTEs].
qbi69_03,Total building inspections FTEs per capita,"[Total building inspections department FTEs] divided by [Population, 2020]."
qbi70,Personnel expenses for building inspections department,"Total amount of personnel expenses for the building inspections department in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits. Only the personnel expenses for permits, inspections, and plan reviews are included. If the department also handles zoning, fire, code enforcement, planning, etc., the expenses incurred for permits, inspections, and plan reviews can be an estimate."
